oa_author_id,oa_author_name,oa_author_orcid
https://openalex.org/A5032246931,Zhenxi Chen,https://orcid.org/0000-0001-9743-7994
https://openalex.org/A5057737387,Donald Lien,https://orcid.org/0000-0002-0659-2831
https://openalex.org/A5057666375,Ying Lü,https://orcid.org/0000-0002-7698-8962
https://openalex.org/A5039721389,Dongliang Yang,https://orcid.org/0000-0002-2193-3921
https://openalex.org/A5103432955,Ying Niu,
https://openalex.org/A5101687134,Huaguo Zhang,https://orcid.org/0000-0002-5331-9926
https://openalex.org/A5017942325,Bingli Du,
https://openalex.org/A5101887970,Xiaolian Jiang,https://orcid.org/0000-0001-7710-9280
https://openalex.org/A5018015203,Sheung Wai Law,https://orcid.org/0000-0001-7923-0164
https://openalex.org/A5083195535,Wenjun Hong,https://orcid.org/0000-0002-4298-0153
https://openalex.org/A5032007498,Zhiyong Zhao,https://orcid.org/0000-0002-1432-0430
https://openalex.org/A5109448224,Dongmei Wang,https://orcid.org/0000-0002-9230-7530
https://openalex.org/A5100351472,Ming Li,https://orcid.org/0000-0002-8197-6552
https://openalex.org/A5028229243,Chaozheng Tang,https://orcid.org/0000-0002-2021-9988
https://openalex.org/A5051930131,Rong Xu,https://orcid.org/0000-0001-7947-2788
https://openalex.org/A5035376088,Jerry Won Lee,https://orcid.org/0000-0002-4081-5701
https://openalex.org/A5071045218,Zhibin Zuo,https://orcid.org/0000-0002-9063-5856
https://openalex.org/A5064095903,Chaowen Chang,https://orcid.org/0000-0002-3583-9880
https://openalex.org/A5034357738,Yong Zhang,https://orcid.org/0000-0003-4290-9098
https://openalex.org/A5103990491,Rongyu He,
https://openalex.org/A5101444050,Xi Qin,https://orcid.org/0009-0003-5788-2796
https://openalex.org/A5100422244,Xiaomin Li,https://orcid.org/0000-0003-4488-0356
https://openalex.org/A5038508814,Chun Bun Lam,https://orcid.org/0000-0002-3195-7919
https://openalex.org/A5111445838,Regan Lam,
https://openalex.org/A5054112633,Yunxia Ni,
https://openalex.org/A5018080504,Shengyi Dong,https://orcid.org/0000-0002-8640-537X
https://openalex.org/A5074785478,Feihe Huang,https://orcid.org/0000-0003-3177-6744
https://openalex.org/A5101591254,Cheng-Kuan Lin,
https://openalex.org/A5102267448,Shangzhi Qiu,
https://openalex.org/A5100429222,Siyuan Chen,https://orcid.org/0000-0001-6921-1568
https://openalex.org/A5045941184,Junyan Yang,https://orcid.org/0000-0003-3895-4689
https://openalex.org/A5028646473,K.C. Li,https://orcid.org/0009-0007-8673-5540
https://openalex.org/A5102447566,Wendy Chan,https://orcid.org/0009-0009-7651-1265
https://openalex.org/A5025535837,June Y. W. Chao,
https://openalex.org/A5089235307,Phyllis Chan,https://orcid.org/0000-0003-1509-1526
https://openalex.org/A5108732568,Connie Lok-Kan Cheng,
https://openalex.org/A5102909463,Yan Chen,https://orcid.org/0000-0001-9294-0128
https://openalex.org/A5113657781,Xuejun Liu,
https://openalex.org/A5100365288,Bin Li,https://orcid.org/0009-0000-2254-0591
https://openalex.org/A5012776172,Jaime S.K. Yeung,
https://openalex.org/A5038805510,Yi Lin Wong,https://orcid.org/0000-0003-0388-9549
https://openalex.org/A5044226655,Bo Xia,https://orcid.org/0000-0001-7694-4743
https://openalex.org/A5060032166,Minh Tri Trinh,https://orcid.org/0000-0003-4024-220X
https://openalex.org/A5084916782,I-Hsuan Shih,
https://openalex.org/A5050484308,Su‐Ying Fang,https://orcid.org/0000-0003-4492-3168
https://openalex.org/A5000281854,Rou-Fei Chen,https://orcid.org/0000-0002-3304-4777
https://openalex.org/A5008080939,Kuo-Long Chen,
https://openalex.org/A5023142626,Chi-Shan Wang,
https://openalex.org/A5066521232,C. Chang,
https://openalex.org/A5109468015,Chien-Yu Chi,
https://openalex.org/A5070968973,Zhenyu Ming,https://orcid.org/0000-0001-7270-8022
https://openalex.org/A5100426746,Liping Zhang,https://orcid.org/0000-0002-3839-9470
https://openalex.org/A5113812556,Yuta Namiki,
https://openalex.org/A5100996497,Hui-Hui Xiao,
https://openalex.org/A5100418684,Xiaoli Li,https://orcid.org/0000-0002-0762-6562
https://openalex.org/A5102590271,H.C.W. Lau,
https://openalex.org/A5088119741,Caiwei Ma,https://orcid.org/0000-0003-0100-0216
https://openalex.org/A5033475384,Ganegoda K. Dehini,https://orcid.org/0000-0002-0447-5105
https://openalex.org/A5069144085,Yi Ding,https://orcid.org/0000-0002-0010-8279
https://openalex.org/A5044346756,Dapei Jiang,
https://openalex.org/A5024142959,Y.P. Aneja,https://orcid.org/0000-0003-0852-2930
https://openalex.org/A5008840689,Tuğba Baysal,https://orcid.org/0000-0001-8195-2828
https://openalex.org/A5003133869,Ali Demir,https://orcid.org/0000-0001-8898-9412
https://openalex.org/A5004337374,Grégoire S. Larue,https://orcid.org/0000-0001-8564-9084
https://openalex.org/A5013556907,Marc Miska,https://orcid.org/0000-0001-9265-3698
https://openalex.org/A5084178619,Gongbin Qian,
https://openalex.org/A5015930618,Christian Wullems,
https://openalex.org/A5018129110,David Rodwell,https://orcid.org/0000-0002-3858-4879
https://openalex.org/A5015152477,Andry Rakotonirainy,https://orcid.org/0000-0002-2144-4909
https://openalex.org/A5112537165,Ying-Tzu Ke,
https://openalex.org/A5100883246,Chia-Chi Cheng,
https://openalex.org/A5013912074,Yung-Chiang Lin,https://orcid.org/0000-0002-5536-5627
https://openalex.org/A5048043323,Keng-Tsang Hsu,https://orcid.org/0000-0002-4166-2436
https://openalex.org/A5004692524,Tai-Tung Wai,
https://openalex.org/A5110686385,Yong-Ting Li,
