oa_funder_id,oa_funder_name
https://openalex.org/F4320321001,National Natural Science Foundation of China
https://openalex.org/F4320321543,China Postdoctoral Science Foundation
https://openalex.org/F4320335787,Fundamental Research Funds for the Central Universities
https://openalex.org/F4320322120,National Research Foundation of Korea
https://openalex.org/F4320335777,National Key Research and Development Program of China
https://openalex.org/F4320333642,Scientific Research Foundation of Hunan Provincial Education Department
https://openalex.org/F4320322999,Shanghai Jiao Tong University
https://openalex.org/F4320316880,Natural Science Foundation of Shenzhen City
https://openalex.org/F4320320508,"Apple University Development Fund, Apple University Consortium"
https://openalex.org/F4320336569,Shenzhen Science and Technology Innovation Program
https://openalex.org/F4320326705,"Science, Technology and Innovation Commission of Shenzhen Municipality"
https://openalex.org/F4320322598,Hong Kong Polytechnic University
https://openalex.org/F4320337111,Basic and Applied Basic Research Foundation of Guangdong Province
https://openalex.org/F4320322843,Natural Science Foundation of Hunan Province
https://openalex.org/F4320321019,University Grants Committee
https://openalex.org/F4320329815,Hong Kong Government
https://openalex.org/F4320322919,Natural Science Foundation of Beijing Municipality
https://openalex.org/F4320321940,Harbin Institute of Technology
https://openalex.org/F4320321133,Chinese Academy of Sciences
https://openalex.org/F4320329699,Zhongshan Science and Technology Bureau
https://openalex.org/F4320329791,Shenzhen Fundamental Research Program
https://openalex.org/F4320320969,University of Wollongong
https://openalex.org/F4320334010,Key Research and Development Program of Ningxia
https://openalex.org/F4320335564,Chinese Government Scholarship
https://openalex.org/F4320321592,"Research Grants Council, University Grants Committee"
https://openalex.org/F4320327274,Hong Kong Arts Development Council
https://openalex.org/F4320336026,National Key Research and Development Program of China Stem Cell and Translational Research
https://openalex.org/F4320335563,"State Administration for Science, Technology and Industry for National Defense"
https://openalex.org/F4320329860,National Science and Technology Major Project
https://openalex.org/F4320336565,Key Science and Technology Program of Shaanxi Province
https://openalex.org/F4320335912,Foundation for Innovation Groups of Basic Research in Gansu Province
https://openalex.org/F4320335869,National Social Science Fund of China
https://openalex.org/F4320329861,Natural Science Foundation of Sichuan Province
https://openalex.org/F4320320291,University of Manchester
https://openalex.org/F4320336573,"Humanities and Social Sciences Youth Foundation, Ministry of Education of the People's Republic of China"
https://openalex.org/F4320323085,Natural Science Foundation of Heilongjiang Province
https://openalex.org/F4320336125,National Science Fund for Distinguished Young Scholars
https://openalex.org/F4320322847,Youth Innovation Promotion Association of the Chinese Academy of Sciences
https://openalex.org/F4320335765,National Key Scientific Instrument and Equipment Development Projects of China
https://openalex.org/F4320331245,Guangdong Provincial Key Laboratory Of Catalysis
https://openalex.org/F4320321709,"Ministry of Higher Education, Malaysia"
https://openalex.org/F4320322604,Universiti Malaya
https://openalex.org/F4320338464,Natural Science Foundation of Zhejiang Province
https://openalex.org/F4320322769,Natural Science Foundation of Jiangsu Province
https://openalex.org/F4320335440,Natural Science Research of Jiangsu Higher Education Institutions of China
https://openalex.org/F4320324196,Innovation and Technology Commission - Hong Kong
https://openalex.org/F4320326427,Innovation and Technology Fund
https://openalex.org/F4320334897,Natural Science Foundation of Anhui Province
https://openalex.org/F4320309893,City University of Hong Kong
https://openalex.org/F4320322186,Natural Science Foundation of Hubei Province
https://openalex.org/F4320322925,Ministry of Transport of the People's Republic of China
https://openalex.org/F4320320696,"Agency for Science, Technology and Research"
https://openalex.org/F4320320709,National Research Foundation Singapore
https://openalex.org/F4320322439,Northwest University
https://openalex.org/F4320334925,Science and Technology Support Program of Jiangsu Province
https://openalex.org/F4320335802,Shaanxi Key Science and Technology Innovation Team Project
https://openalex.org/F4320336350,Key Research and Development Projects of Shaanxi Province
https://openalex.org/F4320336567,Natural Science Basic Research Program of Shaanxi Province
https://openalex.org/F4320328099,Hefei University of Technology
https://openalex.org/F4320321921,Natural Science Foundation of Guangdong Province
https://openalex.org/F4320327912,Higher Education Discipline Innovation Project
https://openalex.org/F4320330206,Science and Technology Program of Hunan Province
https://openalex.org/F4320328043,Patient Safety Translational Research Centre
https://openalex.org/F4320320879,Deutsche Forschungsgemeinschaft
https://openalex.org/F4320315254,Innovative Research Group Project of the National Natural Science Foundation of China
https://openalex.org/F4320322841,Universidade de Macau
https://openalex.org/F4320322857,Aeronautical Science Foundation of China
https://openalex.org/F4320324202,Guangdong Science and Technology Department
https://openalex.org/F4320322163,Natural Science Foundation of Hebei Province
https://openalex.org/F4320322392,Tsinghua University
https://openalex.org/F4320314362,European Cultural Foundation
https://openalex.org/F4320324392,Environment and Conservation Fund
https://openalex.org/F4320335095,"Department of Industrial and Systems Engineering, Hong Kong Polytechnic University"
https://openalex.org/F4320335872,Chongqing Graduate Student Research Innovation Project
https://openalex.org/F4320327478,Beijing Forestry University
https://openalex.org/F4320334704,Australian Research Council
https://openalex.org/F4320324174,Natural Science Foundation of Shandong Province
https://openalex.org/F4320313899,College of Optometrists
https://openalex.org/F4320307719,Society of the Friendly Sons of St. Patrick for the Relief of Emigrants from Ireland
https://openalex.org/F4320334978,Beijing Nova Program
https://openalex.org/F4320309612,Natural Science Foundation of Shanghai
https://openalex.org/F4320322942,Chinese University of Hong Kong
https://openalex.org/F4320315609,International Polyurethane Technology Foundation
https://openalex.org/F4320321920,Innovation and Technology Commission
https://openalex.org/F4320326907,State Key Laboratory of Robotics
