doi,year,cited_by_count
https://doi.org/10.1177/10963480241229235,2025,5
https://doi.org/10.1177/10963480241229235,2024,24
https://doi.org/10.1002/adfm.202413884,2025,11
https://doi.org/10.1002/adfm.202413884,2024,6
https://doi.org/10.1109/tnnls.2023.3336563,2025,8
https://doi.org/10.1109/tnnls.2023.3336563,2024,21
https://doi.org/10.1109/tnnls.2023.3336563,2023,1
https://doi.org/10.1109/tnnls.2023.3336563,2022,1
https://doi.org/10.1109/tnnls.2023.3336563,2021,1
https://doi.org/10.1016/j.esci.2024.100281,2025,16
https://doi.org/10.1016/j.esci.2024.100281,2024,13
https://doi.org/10.1109/tevc.2023.3278132,2025,2
https://doi.org/10.1109/tevc.2023.3278132,2024,16
https://doi.org/10.1109/tevc.2023.3278132,2023,7
https://doi.org/10.1109/tpwrs.2024.3394210,2025,6
https://doi.org/10.1109/tpwrs.2024.3394210,2024,4
https://doi.org/10.1109/tte.2024.3411289,2025,5
https://doi.org/10.1109/tte.2024.3411289,2024,8
https://doi.org/10.1109/tpwrs.2024.3402233,2025,2
https://doi.org/10.1109/tpwrs.2024.3402233,2024,16
https://doi.org/10.1002/adma.202312596,2025,12
https://doi.org/10.1002/adma.202312596,2024,13
https://doi.org/10.1108/tr-10-2023-0753,2025,6
https://doi.org/10.1108/tr-10-2023-0753,2024,23
https://doi.org/10.1080/10963758.2023.2200003,2025,4
https://doi.org/10.1080/10963758.2023.2200003,2024,10
https://doi.org/10.1080/10963758.2023.2200003,2023,2
https://doi.org/10.1080/15623599.2023.2299557,2025,1
https://doi.org/10.1080/15623599.2023.2299557,2024,12
https://doi.org/10.1108/ecam-02-2023-0168,2025,2
https://doi.org/10.1108/ecam-02-2023-0168,2024,12
https://doi.org/10.1108/ecam-02-2023-0168,2023,1
https://doi.org/10.1016/j.jcis.2024.09.020,2025,11
https://doi.org/10.1016/j.jcis.2024.09.020,2024,4
https://doi.org/10.1038/s41467-024-55030-2,2025,7
https://doi.org/10.1177/00472875231217899,2025,5
https://doi.org/10.1177/00472875231217899,2024,6
