doi,year,cited_by_count
https://doi.org/10.1002/sstr.202300090,2023,1
https://doi.org/10.1109/cvpr52729.2023.00503,2025,1
https://doi.org/10.1109/cvpr52729.2023.00503,2024,7
https://doi.org/10.1002/aenm.202302029,2025,3
https://doi.org/10.1002/aenm.202302029,2024,11
https://doi.org/10.1016/j.jhtm.2023.10.002,2025,4
https://doi.org/10.1016/j.jhtm.2023.10.002,2024,9
https://doi.org/10.1016/j.combustflame.2023.113102,2025,4
https://doi.org/10.1016/j.combustflame.2023.113102,2024,13
https://doi.org/10.1016/j.combustflame.2023.113102,2023,1
https://doi.org/10.1016/j.mechmat.2023.104813,2025,1
https://doi.org/10.1016/j.mechmat.2023.104813,2024,15
https://doi.org/10.1016/j.engstruct.2023.116754,2025,3
https://doi.org/10.1016/j.engstruct.2023.116754,2024,10
https://doi.org/10.1063/5.0166381,2025,3
https://doi.org/10.1063/5.0166381,2024,6
https://doi.org/10.1063/5.0166381,2023,2
https://doi.org/10.1016/j.asw.2023.100785,2025,3
https://doi.org/10.1016/j.asw.2023.100785,2024,13
https://doi.org/10.1039/d3dt02147e,2025,2
https://doi.org/10.1039/d3dt02147e,2024,14
https://doi.org/10.1039/d3dt02147e,2023,2
https://doi.org/10.1090/mcom/3843,2025,5
https://doi.org/10.1090/mcom/3843,2024,11
https://doi.org/10.1016/j.jclepro.2023.138692,2025,3
https://doi.org/10.1016/j.jclepro.2023.138692,2024,11
https://doi.org/10.1016/j.conbuildmat.2023.132679,2024,17
https://doi.org/10.1016/j.indcrop.2023.117381,2025,3
https://doi.org/10.1016/j.indcrop.2023.117381,2024,11
https://doi.org/10.1016/j.indcrop.2023.117381,2023,1
https://doi.org/10.1186/s12916-023-03029-9,2025,3
https://doi.org/10.1186/s12916-023-03029-9,2024,17
https://doi.org/10.1145/3539618.3591635,2025,1
https://doi.org/10.1145/3539618.3591635,2024,9
https://doi.org/10.1145/3539618.3591635,2023,2
https://doi.org/10.1109/icra48891.2023.10161425,2025,1
https://doi.org/10.1109/icra48891.2023.10161425,2024,11
https://doi.org/10.1016/j.psep.2023.08.040,2025,1
https://doi.org/10.1016/j.psep.2023.08.040,2024,8
https://doi.org/10.1016/j.psep.2023.08.040,2023,2
https://doi.org/10.1016/s2665-9913(23)00207-2,2025,3
