doi,oa_funder_id,oa_award_id
https://doi.org/10.3390/su142215296,https://openalex.org/F4320321605,2021K101B
https://doi.org/10.1021/acsami.2c14831,https://openalex.org/F4320322598,P0039581
https://doi.org/10.1021/acsami.2c14831,https://openalex.org/F4320322598,P0042733
https://doi.org/10.1021/acsami.2c14831,https://openalex.org/F4320334704,DP220102790
https://doi.org/10.1021/acsami.2c14831,https://openalex.org/F4320334704,FT180100541
https://doi.org/10.1021/acsami.2c14831,https://openalex.org/F4320334704,DP220103229
https://doi.org/10.1093/bib/bbac402,https://openalex.org/F4320321001,12071306
https://doi.org/10.1093/bib/bbac402,https://openalex.org/F4320321001,12222112
https://doi.org/10.1093/bib/bbac402,https://openalex.org/F4320321001,32170655
https://doi.org/10.3389/fphar.2022.986436,https://openalex.org/F4320326709,2019ZD11
https://doi.org/10.1016/j.trb.2022.10.002,https://openalex.org/F4320330093,SMI-2020-MA-05
https://doi.org/10.1109/itsc55140.2022.9921814,https://openalex.org/F4320322183,ZGD2
https://doi.org/10.1177/03611981221088199,https://openalex.org/F4320306108,DTRT13–G–UTC58
https://doi.org/10.1177/03611981221088199,https://openalex.org/F4320334240,
https://doi.org/10.1039/d2ta02013k,https://openalex.org/F4320321592,N_PolyU502/21
https://doi.org/10.1039/d2ta02013k,https://openalex.org/F4320322598,1-ZE2V
https://doi.org/10.1039/d2ta02013k,https://openalex.org/F4320335777,2021YFA1501101
https://doi.org/10.3390/pr10102055,https://openalex.org/F4320321001,2223800
https://doi.org/10.2166/aqua.2022.174,https://openalex.org/F4320321001,51608424
https://doi.org/10.2166/aqua.2022.174,https://openalex.org/F4320336602,202003AC100001
https://doi.org/10.1137/22m1475983,https://openalex.org/F4320321001,11871178
https://doi.org/10.1137/22m1475983,https://openalex.org/F4320321001,61773136
https://doi.org/10.3390/ijms231911286,https://openalex.org/F4320321001,U21A2095
https://doi.org/10.3390/ijms231911286,https://openalex.org/F4320321001,32071906
https://doi.org/10.1021/acsestengg.1c00364,https://openalex.org/F4320321001,51908479
https://doi.org/10.1021/acsestengg.1c00364,https://openalex.org/F4320321592,25209819
https://doi.org/10.1021/acsestengg.1c00364,https://openalex.org/F4320322598,1-YXA9
https://doi.org/10.1021/acsestengg.1c00364,https://openalex.org/F4320322598,T21-711/16-R
https://doi.org/10.1021/acsestengg.1c00364,https://openalex.org/F4320327181,1-BBWG
https://doi.org/10.1371/journal.pone.0275779,https://openalex.org/F4320321592,25609819
https://doi.org/10.1371/journal.pone.0275779,https://openalex.org/F4320322598,G-YBZN
https://doi.org/10.1016/j.jamda.2022.07.021,https://openalex.org/F4320321592,CUHK4101/02 M
https://doi.org/10.1016/j.jamda.2022.07.021,https://openalex.org/F4320332161,R01-AR049439–01A1
https://doi.org/10.1002/batt.202200305,https://openalex.org/F4320321001,51625302
https://doi.org/10.1002/batt.202200305,https://openalex.org/F4320321001,51873091
https://doi.org/10.1002/batt.202200305,https://openalex.org/F4320321001,52073146
https://doi.org/10.1002/batt.202200305,https://openalex.org/F4320321001,52033004
https://doi.org/10.1109/tvcg.2022.3203091,https://openalex.org/F4320309893,
https://doi.org/10.1109/tvcg.2022.3203091,https://openalex.org/F4320322598,P0035264
https://doi.org/10.3390/polym14173452,https://openalex.org/F4320322598,"ZZLM, YY4V, YY5K"
https://doi.org/10.1016/j.system.2022.102907,https://openalex.org/F4320306709,
https://doi.org/10.1016/j.system.2022.102907,https://openalex.org/F4320321592,17603518
https://doi.org/10.3390/ijerph191710498,https://openalex.org/F4320309777,R-ZH3Y
https://doi.org/10.1063/5.0106554,https://openalex.org/F4320322598,P0036361
https://doi.org/10.1016/j.ejon.2022.102196,https://openalex.org/F4320307758,
https://doi.org/10.1016/j.ejon.2022.102196,https://openalex.org/F4320307770,
https://doi.org/10.1016/j.ejon.2022.102196,https://openalex.org/F4320307779,
https://doi.org/10.1016/j.ejon.2022.102196,https://openalex.org/F4320309470,
https://doi.org/10.1016/j.ejon.2022.102196,https://openalex.org/F4320322148,
https://doi.org/10.1109/icc45855.2022.9838850,https://openalex.org/F4320321001,
https://doi.org/10.1109/icc45855.2022.9838850,https://openalex.org/F4320322857,
https://doi.org/10.1109/icc45855.2022.9838850,https://openalex.org/F4320323230,
https://doi.org/10.1109/icc45855.2022.9838850,https://openalex.org/F4320337504,
https://doi.org/10.1016/j.soildyn.2022.107508,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.soildyn.2022.107508,https://openalex.org/F4320332396,
https://doi.org/10.1016/j.soildyn.2022.107508,https://openalex.org/F4320335777,2019YFB1600700
https://doi.org/10.1016/j.cor.2022.105983,https://openalex.org/F4320321592,UGC/FDS14/E07/18
https://doi.org/10.1002/cta.3412,https://openalex.org/F4320321001,62101473
https://doi.org/10.1016/j.engstruct.2022.114819,https://openalex.org/F4320321001,51608453
https://doi.org/10.1016/j.engstruct.2022.114819,https://openalex.org/F4320336033,B21011
https://doi.org/10.1021/acs.analchem.2c01385,https://openalex.org/F4320321001,21775134
https://doi.org/10.1021/acs.analchem.2c01385,https://openalex.org/F4320321001,21904113
https://doi.org/10.1016/j.chiabu.2022.105846,https://openalex.org/F4320321592,PolyU 15606520
https://doi.org/10.1155/2022/8717932,https://openalex.org/F4320327296,2020-26
https://doi.org/10.1007/s10291-022-01305-4,https://openalex.org/F4320320994,
https://doi.org/10.1007/s10291-022-01305-4,https://openalex.org/F4320321001,42004014
https://doi.org/10.1007/s10291-022-01305-4,https://openalex.org/F4320322769,BK20200530
https://doi.org/10.1007/s10291-022-01305-4,https://openalex.org/F4320327181,BBWK
https://doi.org/10.1002/er.8468,https://openalex.org/F4320321001,51776120
https://doi.org/10.1016/j.buildenv.2022.109443,https://openalex.org/F4320310121,
https://doi.org/10.1016/j.buildenv.2022.109443,https://openalex.org/F4320321001,2018J01070
https://doi.org/10.1016/j.buildenv.2022.109443,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.buildenv.2022.109443,https://openalex.org/F4320327027,2022ZA02
https://doi.org/10.1016/j.buildenv.2022.109443,https://openalex.org/F4320331100,FJ2021B075
https://doi.org/10.1177/15459683221110886,https://openalex.org/F4320334705,1083064
https://doi.org/10.1039/d2cc02465a,https://openalex.org/F4320321001,51972159
https://doi.org/10.1039/d2cc02465a,https://openalex.org/F4320321001,U21A20500
https://doi.org/10.1039/d2cc02465a,https://openalex.org/F4320322665,20212ACB204016
https://doi.org/10.1039/d2cc02465a,https://openalex.org/F4320322665,20192ACB21018
https://doi.org/10.1039/d2cc02465a,https://openalex.org/F4320322665,20171ACB20006
https://doi.org/10.1037/gdn0000192,https://openalex.org/F4320321001,71772159; 72102226; 92146003
https://doi.org/10.1002/ajoc.202200295,https://openalex.org/F4320321001,21606080
https://doi.org/10.1002/ajoc.202200295,https://openalex.org/F4320321001,21908050
https://doi.org/10.1002/ajoc.202200295,https://openalex.org/F4320322598,1-ZE1C
https://doi.org/10.1002/ajoc.202200295,https://openalex.org/F4320326784,
https://doi.org/10.1080/21681376.2022.2094828,https://openalex.org/F4320327181,1-BBWF
https://doi.org/10.1016/j.tbs.2022.07.002,https://openalex.org/F4320335777,2018YFE0102700
https://doi.org/10.1016/j.ememar.2022.100941,https://openalex.org/F4320322598,P0036258
https://doi.org/10.1007/s11482-022-10077-5,https://openalex.org/F4320327181,ZE8K
https://doi.org/10.1109/infocomwkshps54753.2022.9797924,https://openalex.org/F4320321001,
https://doi.org/10.1109/infocomwkshps54753.2022.9797924,https://openalex.org/F4320322857,
https://doi.org/10.1109/infocomwkshps54753.2022.9797924,https://openalex.org/F4320330485,
https://doi.org/10.1109/infocomwkshps54753.2022.9797924,https://openalex.org/F4320337504,
https://doi.org/10.1109/twc.2022.3185545,https://openalex.org/F4320309893,9329031
https://doi.org/10.1109/twc.2022.3185545,https://openalex.org/F4320321592,GRF 152150/19E
https://doi.org/10.1007/s00707-022-03271-x,https://openalex.org/F4320321001,12072317
https://doi.org/10.1007/s00707-022-03271-x,https://openalex.org/F4320338464,LZ21A020002
https://doi.org/10.1007/s10694-022-01277-4,https://openalex.org/F4320321592,15220618
https://doi.org/10.1007/s10694-022-01277-4,https://openalex.org/F4320321592,T22-505/19-N
https://doi.org/10.1007/s10694-022-01277-4,https://openalex.org/F4320322598,P0031564
https://doi.org/10.3390/ijms23137372,https://openalex.org/F4320326705,JCYJ20180507183409601
https://doi.org/10.3390/ijms23137372,https://openalex.org/F4320337350,EY005722
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320321001,61976147
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320322598,G-YW4H
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320322598,#RTVU
https://doi.org/10.1186/s12859-022-04803-x,https://openalex.org/F4320333688,62006203
https://doi.org/10.1007/s10915-022-01882-z,https://openalex.org/F4320335581,11601327
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,61705102
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,51972172
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321001,51802253
https://doi.org/10.1002/solr.202200457,https://openalex.org/F4320321543,2021M692630
https://doi.org/10.1186/s40814-022-01094-0,https://openalex.org/F4320322598,1-ZE4G
https://doi.org/10.3390/ma15124340,https://openalex.org/F4320321001,52008003
https://doi.org/10.3390/ma15124340,https://openalex.org/F4320321001,51908418
https://doi.org/10.3389/fpsyg.2022.898171,https://openalex.org/F4320322598,
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,11731010
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,12101521
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321001,11671109
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320321940,
https://doi.org/10.1016/j.jmaa.2022.126428,https://openalex.org/F4320322598,P0036186
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320321091,
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,305143/2015-8
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,303365/2019-6
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322025,305026/2017-8
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/203.871/2021
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.532/2018
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.789/2017
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/211.186/2021
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/010.101216/2018
https://doi.org/10.1016/j.tws.2022.109505,https://openalex.org/F4320322749,E-26/202.924/2019
https://doi.org/10.1002/acs.3417,https://openalex.org/F4320321001,61573113
https://doi.org/10.1002/acs.3417,https://openalex.org/F4320322725,202006680080
https://doi.org/10.1007/s00371-022-02523-0,https://openalex.org/F4320333334,2014ZT05G157
https://doi.org/10.1002/ejic.202200281,https://openalex.org/F4320320904,
https://doi.org/10.1002/er.8176,https://openalex.org/F4320337015,
https://doi.org/10.1002/er.8176,https://openalex.org/F4320338464,LY20E060002
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321001,62103293
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321001,52105387
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320321543,2021M692349
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320322769,BK20210709
https://doi.org/10.3390/ma15103642,https://openalex.org/F4320326708,SYG202138
https://doi.org/10.1037/pspa0000307,https://openalex.org/F4320320766,
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320323084,3102021TS0406
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320323084,3102021ZD0401
https://doi.org/10.1016/j.mtcomm.2022.103719,https://openalex.org/F4320335787,
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321001,62173098
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321001,12104074
https://doi.org/10.1364/oe.459132,https://openalex.org/F4320321543,2020M683233
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,11991021
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,11971466
https://doi.org/10.1137/21m1408713,https://openalex.org/F4320321001,12125108
