doi,oa_id,oa_doi,oa_title,oa_display_name,oa_publication_year,oa_publication_date,oa_language,oa_type,oa_cited_by_count,oa_fwci,oa_is_retracted,oa_updated_date,oa_created_date,oa_primary_location_is_oa,oa_primary_location_landing_page_url,oa_primary_location_source_id,oa_primary_location_source_name,oa_primary_location_source_issn_l,oa_primary_location_source_is_oa,oa_primary_location_source_is_indexed_in_scopus,oa_primary_location_source_host_org_name,oa_primary_location_source_host_org_lineage_names,oa_primary_location_source_type,oa_biblio_volume,oa_biblio_issue,oa_biblio_first_page,oa_biblio_last_page,oa_primary_topic_id,oa_primary_topic_name,oa_primary_topic_score,oa_primary_topic_subfield_name,oa_primary_topic_field_name,oa_primary_topic_domain_name,oa_cnp_value,oa_cnp_is_top_1_percent,oa_cnp_is_top_10_percent,oa_cbpy_min,oa_cbpy_max,oa_status
https://doi.org/10.1016/j.jobe.2021.103152,https://openalex.org/W3193901541,https://doi.org/10.1016/j.jobe.2021.103152,Critical success factors for managing construction small and medium-sized enterprises in developing countries of Middle East: Evidence from Iranian construction enterprises,Critical success factors for managing construction small and medium-sized enterprises in developing countries of Middle East: Evidence from Iranian construction enterprises,2021.0,17/8/2021,en,article,49.0,6.578,False,2025-04-18T13:05:10.109901,30/8/2021,False,https://doi.org/10.1016/j.jobe.2021.103152,https://openalex.org/S2764478331,Journal of Building Engineering,2352-7102,False,True,Elsevier BV,"[""Elsevier BV""]",journal,43,,103152,103152,https://openalex.org/T10395,Construction Project Management and Performance,0.9988,Management Science and Operations Research,Decision Sciences,Social Sciences,0.999914,True,True,97.0,98.0,Success
https://doi.org/10.1016/j.aei.2021.101402,https://openalex.org/W3198180013,https://doi.org/10.1016/j.aei.2021.101402,Cooperative surveillance systems and digital-technology enabler for a real-time standard terminal arrival schedule displacement,Cooperative surveillance systems and digital-technology enabler for a real-time standard terminal arrival schedule displacement,2021.0,30/8/2021,en,article,34.0,3.702,False,2025-04-21T02:21:16.182851,13/9/2021,False,https://doi.org/10.1016/j.aei.2021.101402,https://openalex.org/S112141509,Advanced Engineering Informatics,1474-0346,False,True,Elsevier BV,"[""Elsevier BV""]",journal,50,,101402,101402,https://openalex.org/T11489,Air Traffic Management and Optimization,1.0,Aerospace Engineering,Engineering,Physical Sciences,0.999947,True,True,96.0,97.0,Success
https://doi.org/10.1016/j.apenergy.2021.117653,https://openalex.org/W3197952647,https://doi.org/10.1016/j.apenergy.2021.117653,Biphasic pretreatment for energy and carbon efficient conversion of lignocellulose into bioenergy and reactive lignin,Biphasic pretreatment for energy and carbon efficient conversion of lignocellulose into bioenergy and reactive lignin,2021.0,1/9/2021,en,article,38.0,2.783,False,2025-04-03T14:29:37.882796,13/9/2021,False,https://doi.org/10.1016/j.apenergy.2021.117653,https://openalex.org/S109565702,Applied Energy,0306-2619,False,True,Elsevier BV,"[""Elsevier BV""]",journal,303,,117653,117653,https://openalex.org/T10171,Biofuel production and bioconversion,1.0,Biomedical Engineering,Engineering,Physical Sciences,0.999976,True,True,96.0,97.0,Success
https://doi.org/10.1109/tase.2020.2997718,https://openalex.org/W3037030727,https://doi.org/10.1109/tase.2020.2997718,Weighted Double-Low-Rank Decomposition With Application to Fabric Defect Detection,Weighted Double-Low-Rank Decomposition With Application to Fabric Defect Detection,2020.0,23/6/2020,en,article,36.0,3.049,False,2025-04-21T11:03:47.933374,2/7/2020,False,https://doi.org/10.1109/tase.2020.2997718,https://openalex.org/S34881539,IEEE Transactions on Automation Science and Engineering,1545-5955,False,True,Institute of Electrical and Electronics Engineers,"[""Institute of Electrical and Electronics Engineers""]",journal,18,3,1170,1190,https://openalex.org/T12111,Industrial Vision Systems and Defect Detection,1.0,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,0.999914,True,True,95.0,96.0,Success
https://doi.org/10.1016/j.compstruct.2021.114329,https://openalex.org/W3182779719,https://doi.org/10.1016/j.compstruct.2021.114329,Compound concrete-filled FRP tubular columns under cyclic axial compression,Compound concrete-filled FRP tubular columns under cyclic axial compression,2021.0,3/7/2021,en,article,37.0,3.487,False,2025-04-19T09:11:22.845843,19/7/2021,False,https://doi.org/10.1016/j.compstruct.2021.114329,https://openalex.org/S52363224,Composite Structures,0263-8223,False,True,Elsevier BV,"[""Elsevier BV""]",journal,275,,114329,114329,https://openalex.org/T10479,Structural Behavior of Reinforced Concrete,1.0,Building and Construction,Engineering,Physical Sciences,0.999927,True,True,96.0,97.0,Success
https://doi.org/10.1016/j.buildenv.2021.107965,https://openalex.org/W3160592514,https://doi.org/10.1016/j.buildenv.2021.107965,Investigation of the Reynolds number independence of cavity flow in 2D street canyons by wind tunnel experiments and numerical simulations,Investigation of the Reynolds number independence of cavity flow in 2D street canyons by wind tunnel experiments and numerical simulations,2021.0,20/5/2021,en,article,36.0,2.567,False,2025-04-23T18:06:42.075403,24/5/2021,False,https://doi.org/10.1016/j.buildenv.2021.107965,https://openalex.org/S56464651,Building and Environment,0360-1323,False,True,Elsevier BV,"[""Elsevier BV""]",journal,201,,107965,107965,https://openalex.org/T11371,Wind and Air Flow Studies,1.0,Environmental Engineering,Environmental Science,Physical Sciences,0.999899,True,True,96.0,97.0,Success
https://doi.org/10.1080/10548408.2021.1921096,https://openalex.org/W3159752047,https://doi.org/10.1080/10548408.2021.1921096,Self-check-in kiosk quality and airline non-contact service maximization: how to win air traveler satisfaction and loyalty in the post-pandemic world?,Self-check-in kiosk quality and airline non-contact service maximization: how to win air traveler satisfaction and loyalty in the post-pandemic world?,2021.0,4/5/2021,en,article,43.0,6.483,False,2025-04-20T02:07:50.717444,10/5/2021,False,https://doi.org/10.1080/10548408.2021.1921096,https://openalex.org/S132310603,Journal of Travel & Tourism Marketing,1054-8408,False,True,Taylor & Francis,"[""Taylor & Francis""]",journal,38,4,383,398,https://openalex.org/T10154,Customer Service Quality and Loyalty,0.9993,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,0.999913,True,True,97.0,98.0,Success
https://doi.org/10.1016/j.oceaneng.2021.109279,https://openalex.org/W3173010489,https://doi.org/10.1016/j.oceaneng.2021.109279,Hydrodynamic loads on a restrained ROV under waves and current,Hydrodynamic loads on a restrained ROV under waves and current,2021.0,10/6/2021,en,article,33.0,4.65,False,2025-04-18T13:03:56.288827,22/6/2021,False,https://doi.org/10.1016/j.oceaneng.2021.109279,https://openalex.org/S76910236,Ocean Engineering,0029-8018,False,True,Elsevier BV,"[""Elsevier BV""]",journal,234,,109279,109279,https://openalex.org/T11192,Underwater Vehicles and Communication Systems,1.0,Ocean Engineering,Engineering,Physical Sciences,0.999915,True,True,96.0,97.0,Success
https://doi.org/10.1016/j.cscm.2021.e00568,https://openalex.org/W3160506321,https://doi.org/10.1016/j.cscm.2021.e00568,"Effects of calcined clay, sawdust ash and chemical admixtures on Strength and Properties of concrete for pavement and flooring applications using Taguchi approach","Effects of calcined clay, sawdust ash and chemical admixtures on Strength and Properties of concrete for pavement and flooring applications using Taguchi approach",2021.0,10/5/2021,en,article,38.0,4.27,False,2025-04-19T13:28:44.033187,24/5/2021,True,https://doi.org/10.1016/j.cscm.2021.e00568,https://openalex.org/S2764881959,Case Studies in Construction Materials,2214-5095,True,True,Elsevier BV,"[""Elsevier BV""]",journal,15,,e00568,e00568,https://openalex.org/T10033,Concrete and Cement Materials Research,0.9999,Civil and Structural Engineering,Engineering,Physical Sciences,0.999963,True,True,96.0,97.0,Success
https://doi.org/10.2147/prbm.s303239,https://openalex.org/W3156417644,https://doi.org/10.2147/prbm.s303239,Understanding the Relationship Between Tourists’ Consumption Behavior and Their Consumption Substitution Willingness Under Unusual Environment,Understanding the Relationship Between Tourists’ Consumption Behavior and Their Consumption Substitution Willingness Under Unusual Environment,2021.0,1/4/2021,en,article,42.0,12.815,False,2025-04-16T16:15:18.468608,26/4/2021,True,https://doi.org/10.2147/prbm.s303239,https://openalex.org/S2764728225,Psychology Research and Behavior Management,1179-1578,True,True,Dove Medical Press,"[""Dove Medical Press""]",journal,Volume 14,,483,500,https://openalex.org/T10609,Digital Marketing and Social Media,0.9979,Sociology and Political Science,Social Sciences,Social Sciences,0.999992,True,True,97.0,98.0,Success
