id,doi,title,display_name,publication_year,publication_date,language,type,type_crossref,cited_by_count,oa_status,open_access.oa_url,primary_location.is_oa,primary_location.landing_page_url,primary_location.pdf_url,primary_location.version,primary_location.license,primary_location.source.id,source_display_name,biblio.volume,biblio.issue,biblio.first_page,biblio.last_page,author_names,institution_names_str,is_retracted,is_paratext,ids.pmid
https://openalex.org/W4405968619,https://doi.org/10.3390/polym17010081,Highly Stable Flexible SERS-Imprinted Membrane Based on Plasmonic MOF Material for the Selective Detection of Chrysoidin in Environmental Water,Highly Stable Flexible SERS-Imprinted Membrane Based on Plasmonic MOF Material for the Selective Detection of Chrysoidin in Environmental Water,2024,2024-12-31,en,article,journal-article,1,gold,https://doi.org/10.3390/polym17010081,True,https://doi.org/10.3390/polym17010081,,publishedVersion,,https://openalex.org/S123288148,Polymers,17,1,81,81,"Dandan Wang, Hongji Li, Jian Lu, Wei Sun, Xinyi Liu, Yilin Wu","Hainan Normal University, Hainan University, Hong Kong Polytechnic University, Jiangsu University",False,False,https://pubmed.ncbi.nlm.nih.gov/39795484
https://openalex.org/W4408770346,https://doi.org/10.1049/pbpo261e_ch2,Anomaly detection and prognostics for power electronics,Anomaly detection and prognostics for power electronics,2024,2024-12-31,en,book-chapter,book-chapter,0,closed,,False,https://doi.org/10.1049/pbpo261e_ch2,,,,,,,,37,78,"Chang Lü, Michael Pecht","Hong Kong Polytechnic University, Life Cycle Engineering (United States), University of Maryland, College Park",False,False,
https://openalex.org/W4405925085,https://doi.org/10.1557/s43577-024-00836-0,Piezotronic and piezo-phototronic sensors,Piezotronic and piezo-phototronic sensors,2024,2024-12-31,en,article,journal-article,0,closed,,False,https://doi.org/10.1557/s43577-024-00836-0,,,,https://openalex.org/S55806205,MRS Bulletin,,,,,"Chuan‐Pu Liu, Jianhua Hao, Jonnalagadda Raghava Rao, Rusen Yang, Till Frömling, Yuqian Zhao","Fraunhofer Research Institution for Materials Recycling and Resource Strategies IWKS, Hong Kong Polytechnic University, National Cheng Kung University, Xidian University",False,False,
https://openalex.org/W4405927432,https://doi.org/10.1021/acsami.4c18880,Development and Verification of a Vertical Graphene Sensor for Tunnel Leakage Monitoring,Development and Verification of a Vertical Graphene Sensor for Tunnel Leakage Monitoring,2024,2024-12-31,en,article,journal-article,0,closed,,False,https://doi.org/10.1021/acsami.4c18880,,,,https://openalex.org/S164001016,ACS Applied Materials & Interfaces,,,,,"Chengyu Hong, Pei-Chen Wu, Qiang Yang, Shu Yuan","Hong Kong Polytechnic University, Shenzhen University",False,False,https://pubmed.ncbi.nlm.nih.gov/39739570
https://openalex.org/W4405953164,https://doi.org/10.1007/s44267-024-00072-9,FusionMamba: dynamic feature enhancement for multimodal image fusion with Mamba,FusionMamba: dynamic feature enhancement for multimodal image fusion with Mamba,2024,2024-12-31,en,article,journal-article,12,gold,https://doi.org/10.1007/s44267-024-00072-9,True,https://doi.org/10.1007/s44267-024-00072-9,,publishedVersion,cc-by,https://openalex.org/S4387289164,Visual Intelligence,2,1,,,"Tao Tan, Xinyu Xie, Xubin Zheng, Yawen Cui, Zitong Yu","Hong Kong Polytechnic University, Macao Polytechnic University",False,False,
https://openalex.org/W4405905114,https://doi.org/10.1016/j.ultsonch.2024.107215,Mild ultrasound-assisted alkali de-esterification modified pectins: Characterization and structure–activity relationships in immunomodulatory effects,Mild ultrasound-assisted alkali de-esterification modified pectins: Characterization and structure–activity relationships in immunomodulatory effects,2024,2024-12-31,en,article,journal-article,1,gold,https://doi.org/10.1016/j.ultsonch.2024.107215,True,https://doi.org/10.1016/j.ultsonch.2024.107215,,publishedVersion,cc-by-nc-nd,https://openalex.org/S130447213,Ultrasonics Sonochemistry,112,,107215,107215,"Bin Miao, GuiShan Chen, Hong Gao, Huan Guo, Kang-Lin Feng, Li Dong, Ren‐You Gan, Z. C. Kang","Chinese Academy of Agricultural Sciences, Hong Kong Polytechnic University, Sichuan Academy of Agricultural Sciences, Sichuan Agricultural University, Sichuan University",False,False,https://pubmed.ncbi.nlm.nih.gov/39742686
https://openalex.org/W4405940868,https://doi.org/10.1111/jan.16713,Neurological Nurses' Perspectives on Communication of Stroke Recurrence Risks: A Mixed‐Method Study,Neurological Nurses' Perspectives on Communication of Stroke Recurrence Risks: A Mixed‐Method Study,2024,2024-12-31,en,article,journal-article,1,closed,https://doi.org/10.1111/jan.16713,True,https://doi.org/10.1111/jan.16713,,publishedVersion,,https://openalex.org/S137832324,Journal of Advanced Nursing,,,,,"Beilei Lin, Jing Chen, Panpan Wang, Ruofei Chen, Shanshan Wang, Yongxia Mei, Yujia Jin, Yunjing Qiu","Hong Kong Polytechnic University, Monash University, University of Technology Sydney, Zhengzhou University",False,False,https://pubmed.ncbi.nlm.nih.gov/39739756
https://openalex.org/W4405942800,https://doi.org/10.3390/rs17010111,Extracting Water Surfaces of the Dike-Pond System from High Spatial Resolution Images Using Deep Learning Methods,Extracting Water Surfaces of the Dike-Pond System from High Spatial Resolution Images Using Deep Learning Methods,2024,2024-12-31,en,article,journal-article,0,gold,https://doi.org/10.3390/rs17010111,True,https://doi.org/10.3390/rs17010111,,publishedVersion,cc-by,https://openalex.org/S43295729,Remote Sensing,17,1,111,111,"Jie Liang, Jinhao Zhou, Junpeng Li, K. S. Fu, Shen Liang, X. C. An, Yilun Liu","Hong Kong Polytechnic University, South China Agricultural University, University of Hong Kong",False,False,
https://openalex.org/W4405948416,https://doi.org/10.1177/14759217241305050,Physics-guided neural network for structural health monitoring with lamb waves through boundary reflection elimination,Physics-guided neural network for structural health monitoring with lamb waves through boundary reflection elimination,2024,2024-12-31,en,article,journal-article,0,closed,https://doi.org/10.1177/14759217241305050,True,https://doi.org/10.1177/14759217241305050,,publishedVersion,other-oa,https://openalex.org/S46950560,Structural Health Monitoring,,,,,"Li Cheng, Shengbo Shan, Yang Song, Yuanman Zhang","Hong Kong Polytechnic University, Tongji University",False,False,
https://openalex.org/W4405924076,https://doi.org/10.1061/jccee5.cpeng-6079,Vision-Based Body Pose Estimation of Excavator Using a Transformer-Based Deep-Learning Model,Vision-Based Body Pose Estimation of Excavator Using a Transformer-Based Deep-Learning Model,2024,2024-12-31,en,article,journal-article,0,closed,,False,https://doi.org/10.1061/jccee5.cpeng-6079,,,,https://openalex.org/S176637136,Journal of Computing in Civil Engineering,39,2,,,"Ankang Ji, Hongqin Fan, Xiaolong Xue","Guangzhou University, Hong Kong Polytechnic University, Shenzhen Polytechnic",False,False,
