dc_identifier,eid,prism_doi,pii,pubmed_id,orcid,link_self_href,link_scopus_href,link_scopus_citedby_href,prism_url,dc_title,first_author_name,prism_publicationname,prism_aggregationtype,prism_issn,prism_isbn,prism_volume,prism_issueidentifier,prism_pagerange,prism_coverdate,publication_year,publication_month,prism_coverdisplaydate,citedby_count,subtype,subtypedescription,first_affiliation_name,openaccess
SCOPUS_ID:85185665699,2-s2.0-85185665699,10.1177/10963480241229235,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85185665699,"Artificial Intelligence in Hospitality and Tourism: Insights From Industry Practices, Research Literature, and Expert Opinions",Kim H.,Journal of Hospitality and Tourism Research,Journal,10963480,nan,49,2,366-385,2025-02-01,2025,2,,31,ar,Article,,0
SCOPUS_ID:85205552035,2-s2.0-85205552035,10.1002/adfm.202413884,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85205552035,Hierarchical Engineering on Built-In Electric Field of Bimetallic Zeolitic Imidazolate Derivatives Towards Amplified Dielectric Loss,Zhang S.,Advanced Functional Materials,Journal,1616301X,nan,35,3,,2025-01-15,2025,1,,29,ar,Article,,1
SCOPUS_ID:85183978212,2-s2.0-85183978212,10.1109/TNNLS.2023.3336563,,38261502,,,,,https://api.elsevier.com/content/abstract/scopus_id/85183978212,Learning to Aggregate Multi-Scale Context for Instance Segmentation in Remote Sensing Images,Liu Y.,IEEE Transactions on Neural Networks and Learning Systems,Journal,2162237X,nan,36,1,595-609,2025-01-01,2025,1,,28,ar,Article,,0
SCOPUS_ID:85200799814,2-s2.0-85200799814,10.1016/j.esci.2024.100281,S266714172400065X,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85200799814,Heterogeneous structure design for stable Li/Na metal batteries: Progress and prospects,Chen H.,eScience,Journal,,nan,5,1,,2025-01-01,2025,1,,25,re,Review,,1
SCOPUS_ID:85160261481,2-s2.0-85160261481,10.1109/TEVC.2023.3278132,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85160261481,Knowledge Learning for Evolutionary Computation,Jiang Y.,IEEE Transactions on Evolutionary Computation,Journal,1089778X,nan,29,1,16-30,2025-01-01,2025,1,,23,ar,Article,,1
SCOPUS_ID:85191822613,2-s2.0-85191822613,10.1109/TPWRS.2024.3394210,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85191822613,Distributed Secondary Control Based on Bi-Limit Homogeneity for AC Microgrids Subjected to Non-Uniform Delays and Actuator Saturations,Wang Q.,IEEE Transactions on Power Systems,Journal,08858950,nan,40,1,820-833,2025-01-01,2025,1,,21,ar,Article,,0
SCOPUS_ID:85195387709,2-s2.0-85195387709,10.1109/TTE.2024.3411289,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85195387709,Robust Distributed Fixed-Time Fault-Tolerant Control for Shipboard Microgrids With Actuator Fault,Huang S.,IEEE Transactions on Transportation Electrification,Journal,,nan,11,1,1791-1804,2025-01-01,2025,1,,20,ar,Article,,0
SCOPUS_ID:85193517824,2-s2.0-85193517824,10.1109/TPWRS.2024.3402233,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85193517824,Distributed Predefined-Time Control for Power System With Time Delay and Input Saturation,Huang S.,IEEE Transactions on Power Systems,Journal,08858950,nan,40,1,151-165,2025-01-01,2025,1,,19,ar,Article,,0
SCOPUS_ID:85189367832,2-s2.0-85189367832,10.1002/adma.202312596,,38490737,,,,,https://api.elsevier.com/content/abstract/scopus_id/85189367832,New Carbon Materials for Multifunctional Soft Electronics,Xue J.,Advanced Materials,Journal,09359648,nan,37,2,,2025-01-15,2025,1,,19,re,Review,,0
SCOPUS_ID:85184218750,2-s2.0-85184218750,10.1108/TR-10-2023-0753,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85184218750,Technological evolution in tourism: a Horizon 2050 perspective,Chon K.K.S.,Tourism Review,Journal,16605373,nan,80,1,313-325,2025-01-31,2025,1,,19,ar,Article,,0
